Year,State,Number
2011,NSW,101800.00
2011,Vic,75900.00
2011,Qld,54700.00
2011,WA,26900.00
2011,SA,26500.00
2011,Tas,7600.00
2011,ACT,3600.00
2011,NT,1000.00
2012,NSW,105500.00
2012,Vic,79100.00
2012,Qld,58000.00
2012,WA,28400.00
2012,SA,27500.00
2012,Tas,7900.00
2012,ACT,3800.00
2012,NT,1000.00
2013,NSW,108700.00
2013,Vic,81600.00
2013,Qld,60300.00
2013,WA,29600.00
2013,SA,28300.00
2013,Tas,8200.00
2013,ACT,4000.00
2013,NT,1100.00
2014,NSW,111900.00
2014,Vic,84100.00
2014,Qld,62600.00
2014,WA,30700.00
2014,SA,29000.00
2014,Tas,8400.00
2014,ACT,4100.00
2014,NT,1200.00
2015,NSW,115200.00
2015,Vic,86700.00
2015,Qld,65100.00
2015,WA,32000.00
2015,SA,29700.00
2015,Tas,8600.00
2015,ACT,4300.00
2015,NT,1200.00
2016,NSW,118500.00
2016,Vic,89300.00
2016,Qld,67600.00
2016,WA,33300.00
2016,SA,30500.00
2016,Tas,8900.00
2016,ACT,4400.00
2016,NT,1300.00
2017,NSW,121900.00
2017,Vic,92000.00
2017,Qld,70300.00
2017,WA,34600.00
2017,SA,31200.00
2017,Tas,9100.00
2017,ACT,4600.00
2017,NT,1300.00
2018,NSW,125200.00
2018,Vic,94600.00
2018,Qld,72900.00
2018,WA,36000.00
2018,SA,32000.00
2018,Tas,9400.00
2018,ACT,4800.00
2018,NT,1400.00